IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\055.jpg,Jussieu – Two Libraries,Jussieu-–-Two-Libraries,oma.eu,1992,Project,Competition,Library,,TRUE,,Hernando Arrazola,Siebe Bakker,Gary Bates,Gro Bonesmo,Christophe Cornubert,Xaveer de Geyter,Arjen de Groot,Rene Heijne,Jerry Kopare,Markus Lüscher,Peter Oudshoorn,Jacob van Rijs,Markus Röthlisberger,Roland Stuy,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\056.jpg,Kunsthal,Kunsthal,oma.eu,1992,Project,Completed,Museum / Gallery,,TRUE,,Tony Adam,Isaac Batenburg,Fuminori Hoshino,Leo van Immerzeel,Herman Jacobs,Ron Steiner,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\057.jpg,Stedelijk Museum,Stedelijk-Museum,oma.eu,1992,Project,Competition,Museum / Gallery,,TRUE,,Hernando Arrazola,Frans Blok,Nick Dragna,Christine Enzmann,Xaveer de Geyter,Glenn de Groot,Arjen de Groot,Kyoko Hoshino,Francis Hsu,Markus Lüscher,Farshid Moussavi,Heidrun Reusch,Vincent de Rijk,Ron Steiner,Tom Tulloch,Wieland Vajen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\058.jpg,Yokohama Masterplan,Yokohama-Masterplan,oma.eu,1992,Project,Competition,Masterplan,,TRUE,,Gro Bonesmo,Fuminori Hoshino,Kyoko Hoshino,Winy Maas,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\059.jpg,Pointcity/Southcity,Pointcity-Southcity,oma.eu,1993,Project,Commissioned Study,Masterplan,,TRUE,,Gary Bates,Winy Maas,Jacob van Rijs,Ron Steiner,Luc Veeger,Jeroen Veltman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\060.jpg,C3 Maastowers,C3-Maastowers,oma.eu,1994,Project,Commissioned Study,Masterplan,,TRUE,,Esther Dekhuiyzen,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\061.jpg,Congrexpo,Congrexpo,oma.eu,1994,Project,Completed,Theatre,,TRUE,,Ruud Cobussen,Donald van Dansik,Rients Dijkstra,Jeanne Gang,Jan-Willem van Kuilenburg,Ray Maggiore,Mark Schendel,Diana Stiles,Yushi Uehara,Ron Witte,Dirk Zuiderveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\062.jpg,Euralille,Euralille,oma.eu,1994,Project,Completed,Masterplan,,TRUE,,Floris Alkemade,Donald van Dansik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\063.jpg,Hypobank,Hypobank,oma.eu,1994,Project,Design Development,Office,,TRUE,,Gro Bonesmo,Udo Garritzmann,Xaveer de Geyter,Arjen de Groot,Tom Hage,Fuminori Hoshino,Bas Suijkerbuijk,Tom Tulloch,Luc Veeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\064.jpg,Miami Performing Arts Center,Miami-Performing-Arts-Center,oma.eu,1994,Project,Competition,Theatre,,TRUE,,Floris Alkemade,Hernando Arrazola,Gary Bates,Petra Blaisse,Gro Bonesmo,John Dehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\065.jpg,Museumpark,Museumpark,oma.eu,1994,Project,Completed,Landscape,,TRUE,,Tony Adam,Petra Blaisse,Yves Brunier,Maartje Lammers,Gregor Mescherowsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\066.jpg,Saitama Arena,Saitama-Arena,oma.eu,1994,Project,Competition,Arena,,TRUE,,Thomas Daniell,Fuminori Hoshino,Yo Yamagata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\067.jpg,Tate Modern,Tate-Modern,oma.eu,1994,Project,Competition,Museum / Gallery,,TRUE,,Floris Alkemade,Frans Blok,Gro Bonesmo,Abigail Hopkins,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\068.jpg,A4 Corridor,A4-Corridor,oma.eu,1995,Project,Commissioned Study,Masterplan,,TRUE,,Donald van Dansik,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\069.jpg,Airport 2000,Airport-2000,oma.eu,1995,Project,Competition,Infrastructure,,TRUE,,Tom Bergevoet,Piet Eckert,Wim Eckert,Reinier de Graaf,Wilfried Hackenbroich,Julien Monfort,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\070.jpg,Dutch House,Dutch-House,oma.eu,1995,Project,Completed,Residential,,TRUE,,Gro Bonesmo,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\071.jpg,Educatorium,Educatorium,oma.eu,1995,Project,Completed,Education,,TRUE,,Gary Bates,Frans Blok,Cristophe Cornubert,Richard Eelman,Clement Gillet,Gaudi Houdaya,Michel Melenhorst,Christian Müller,Eric Schotte,Enno Stemerding,Boukje Trenning,Henrik Valeur,Luc Veeger,Jacques Vink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\072.jpg,H Project,H-Project,oma.eu,1995,Project,Commissioned Study,Education,,TRUE,,Gary Bates,Frans Blok,Sarah Dun,Wilfried Hackenbroich,Fokke Moerel,Eric Schall,Heidi van der Wardt,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\073.jpg,MCA Masterplan,MCA-Masterplan,oma.eu,1995,Project,Design Development,Masterplan,,TRUE,,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Rinske van Ramshorst,Joshua Ramus,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\074.jpg,New Seoul International Airport,New-Seoul-International-Airport,oma.eu,1995,Project,Commissioned Study,Masterplan,,TRUE,,Simon van Amerongen,Gary Bates,Vincent Coste,Piet Eckert,Bobby Fogel,Kwang Soo Kim,Paul Kroese,Margaret Muller,Greetje van den Nouweland,Fanny Smelik,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\075.jpg,Oostelijke Handelskade,Oostelijke-Handelskade,oma.eu,1995,Project,Commissioned Study,Masterplan,,TRUE,,Udo Garritzmann,Catherine Lassen,Domenico Raimondo,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\076.jpg,"S, M, L, XL, Rem Koolhaas",S-M-L-XL,oma.eu,1995,Lecture,Lecture,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\077.jpg,"S,M,L,XL, The Monacelli Press",S-M-L-XL,oma.eu,1995,Publication,Publication,N/A,,TRUE,,Bruce Mau,Jennifer Sigler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\078.jpg,Super and Popular,Super-and-Popular,oma.eu,1995,Project,Completed,Scenography,,TRUE,,Gro Bonesmo,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\079.jpg,Alliance Française,Alliance-Française,oma.eu,1996,Project,Completed,Office,,TRUE,,Sanna Schuiling,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\080.jpg,Electronic Showroom,Electronic-Showroom,oma.eu,1996,Project,Commissioned Study,Retail,,TRUE,,Matthias Bauer,Albert-Jan Berman,Petra Blaisse,Frans Blok,Minsuk Cho,Paul Engelen,Naomi Felder,Pim Felix,Esther Gonzalez,Luc Lévesque,James Luhur,Marcel van der Meijs,Floris van der Poel,Sanna Schuiling,Hans Werlemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\081.jpg,Hyperbuilding,Hyperbuilding,oma.eu,1996,Project,Commissioned Study,Mixed use,,TRUE,,Frans Blok,Xavier Calderón,Donald van Dansik,Kristjan Kaltenbach,Kohei Kashimoto,Luc Lévesque,Jose Molmans,Oleg Nikolaevski,Stijn Rademakers,Yo Yamagata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\082.jpg,Kansai Kan,Kansai-Kan,oma.eu,1996,Project,Competition,Library,,TRUE,,Simon van Amerongen,Gricha Bourbouze,Piet Eckert,Paul de Graaf,Kohei Kashimoto,Kamiel Klaasse,Barend Koolhaas,Gijs Pyckevet,Sjaak Roodbol,Pepijn van Sandijk,Bas Suijkerbuijk,Fenna Haakma Wagenaar,Yo Yamagata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\083.jpg,Luxor Theatre,Luxor-Theatre,oma.eu,1996,Project,Competition,Theatre,,TRUE,,Floris Alkemade,Tom Bergevoet,Frans Blok,Gro Bonesmo,Catherine Lassen,Christos Marcopoulos,Ole Scheeren,Sanna Schuiling,Enno Stemerding,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\084.jpg,Nea Krini Pier,Nea-Krini-Pier,oma.eu,1996,Project,Competition,Infrastructure,,TRUE,,Simon van Amerongen,Paul Kroese,Christos Marcopoulos,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\085.jpg,Schiphol Logistics Park,Schiphol-Logistics-Park,oma.eu,1996,Project,Commissioned Study,Masterplan,,FALSE,,Seong Lok Bae,Reinier de Graaf,Neville Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\086.jpg,Stockholm Olympic Stadium,Stockholm-Olympic-Stadium,oma.eu,1996,Project,Competition,Arena,,TRUE,,Rob Hilz,Catharina Lundeberg,Christos Marcopoulos,Eric Schall,Yo Yamagata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\087.jpg,Togok Towers,Togok-Towers,oma.eu,1996,Project,Commissioned Study,Mixed use,,TRUE,,Floris Alkemade,Gary Bates,Frans Blok,Gro Bonesmo,Xavier Calderón,Minsuk Cho,Thorsten Deckler,Sarah Dun,Wilfried Hackenbroich,Kohei Kashimoto,Mike Magner,Oleg Nikolaevski,Domenico Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\088.jpg,Universal Headquarters,Universal-Headquarters,oma.eu,1996,Project,Commissioned Study,Office,,TRUE,,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Joshua Prince-Ramus,Rinske van Ramshorst,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,Olga Aleksakova,Eliot Bu,Xavier Calderón,Robert Choeff,Bert Karel Deuten,Keith Donnelley,Robert Donnelly,Chris van Duijn,Chris van Duijn,Sarah Dun,Mark Eacott,Piet Eckert,Erez Ella,Keren Engelman,Rogier van Est,Anne Filson,Adrianne Fisher,Adrianne Fisher,Bruce Fisher,Pedro Costa Gama,Mark Guinand,Wilfried Hackenbroich,Reinier Hermes,Matthias Hollwich,Jens Holm,Andreas Huhn,Anna Jacinto,Kohei Kashimoto,Anna Kling,Antti Lassila,Anna Little,Ellen van Loon,Rob de Maat,Beth Margulis,Mark McVay,Oliver Michell,Christian Müller,Shawn Mulligan,Oleg Nikolaevski,Daan Ooievaar,Ala Pratt,Bill Price,Bill Price,Joshua Prince-Ramus,Joshua Prince-Ramus,Markus Randler,Gerald Rogers,Fernando Romero,Erik Schotte,Florian Seidel,Shohei Shigematsu,Ann Shih,Peer Sievers,Isabel da Silva,Isabel da Silva,Galia Solomonoff,Ilkka Tarkkanen,Lucien Tinga,Olivier Touraine,Jan Vermeulen,Leonard Weil,Bernard Wolff,Dan Wood,Marco Zurn
089,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\089.jpg,UNO – Maison des Droits de L’homme,UNO-–-Maison-des-Droits-de-L’homme,oma.eu,1996,Project,Competition,Office,,TRUE,,Xavier Calderón,Piet Eckert,Beth Margulis,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\090.jpg,Genoa Port,Genoa-Port,oma.eu,1997,Project,Competition,Masterplan,,TRUE,,Vincent Coste,Donald van Dansik,Adrianne Fisher,Matthias Hollwich,Adam Kurdahl,Joshua Ramus,Isabel da Silva,Julien De Smedt,Hanna Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\091.jpg,Hanoi New Town Masterplan,Hanoi-New-Town-Masterplan,oma.eu,1997,Project,Commissioned Study,Masterplan,,TRUE,,Floris Alkemade,Stephanie Bender,Frans Blok,Xavier Calderón,Grace SukChing Cheung,Donald van Dansik,Claudia Dias,Chris van Duijn,Tobias Fehr,Udo Garritzmann,Verena Haydin,Reiner Hermes,Young-Joon Kim,Andrea Marlia,Philip Oswalt,Jaakko van't Spijker,Dong Ky Than,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\092.jpg,Mercedes Office Village,Mercedes-Office-Village,oma.eu,1997,Project,Commissioned Study,Masterplan,,TRUE,,Floris Alkemade,Gary Bates,Reinier de Graaf,Mark McVeigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\093.jpg,Moma Charette,Moma-Charette,oma.eu,1997,Project,Competition,Museum / Gallery,,TRUE,,Vincent Coste,Rogier van Est,Wilfried Hackenbroich,Matthias Hollwich,Kohei Kashimoto,Joshua Prince-Ramus,Ole Scheeren,Isabel da Silva,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\094.jpg,Papendorp,Papendorp,oma.eu,1997,Project,Completed,Masterplan,,TRUE,,Floris Alkemade,Gary Bates,Donald van Dansik,Richard Eelman,Christos Marcopoulos,Sanna Schuiling,Isabel da Silva,Julien De Smedt,Adam Smit,Jaakko van't Spijker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\095.jpg,El Baijo,El-Baijo,oma.eu,1998,Project,Competition,Masterplan,,TRUE,,Floris Alkemade,Donald van Dansik,Adrianne Fisher,Maria Martinez Jamart,Oleg Nikolaevski,Fernando Romero,Adam Smit,Galia Solomonoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\096.jpg,Haus Um Die Schenkung,Haus-Um-Die-Schenkung,oma.eu,1998,Project,Competition,Mixed use,,TRUE,,Frans Blok,Robert Choeff,Matthias Hollwich,Krystyan Keck,Rombout Loman,Fernando Romero,Erik Schotte,Oliver Schütte,Julien De Smedt,Barbara Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\097.jpg,Inchon Song–Do New Town,Inchon-Song–Do-New-Town,oma.eu,1998,Project,Commissioned Study,Masterplan,,TRUE,,Floris Alkemade,Gary Bates,Eliot Bu,Minsuk Cho,Donald van Dansik,Bert Karel Deuten,Richard Eelman,Adrianne Fisher,Adam Kurdahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\098.jpg,Maison à Bordeaux,Maison-à-Bordeaux,oma.eu,1998,Project,Completed,Residential,,TRUE,,Vincent Coste,Chris Dondorp,Chris van Duijn,Jeanne Gang,Julien Monfort,Bill Price,Erik Schotte,Oliver Schütte,Jeroen Thomas,Yo Yamagata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\099.jpg,Schiphols,Schiphols,oma.eu,1998,Project,Commissioned Study,Research,,TRUE,,Frans Blok,Bert Karel Deuten,Reinier de Graaf,Jens Hommert,Adam Kurdahl,Anna Little,Matteo Poli,Stijn Rademakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\100.jpg,Tenerife Link Quay,Tenerife-Link-Quay,oma.eu,1998,Project,Competition,Masterplan,,TRUE,,Gary Bates,Gary Bates,Donald van Dansik,Chris van Duijn,Matthias Hollwich,Walter Hoogerwerf,Bjarke Ingels,Joshua Ramus,Joshua Ramus,Stephan Schoeller,Colin Seah,Isabel da Silva,Julien De Smedt,Galia Solomonoff,Hanna Svensson,Maarten Weers,Hans Werlemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\101.jpg,Y2K House,Y2K-House,oma.eu,1998,Project,Commissioned Study,Residential,,TRUE,,Uwe Herlyn,Fernando Romero,Erik Schotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\102.jpg,Breuninger,Breuninger,oma.eu,1999,Project,Completed,Retail,,TRUE,,Matthias Bauer,Vincent Coste,Christos Marcopoulos,Ole Scheeren,Stephanie Bender,Minsuk Cho,Chris van Duijn,Tobias Fehr,Rob Hilz,Jan-Willem van Kuilenburg,Catherine Lassen,Sabine Schaaf,Erik Schotte,Don Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\103.jpg,Carrefour,Carrefour,oma.eu,1999,Project,Commissioned Study,Infrastructure,,TRUE,,Donald van Dansik,Reinier de Graaf,Jens Hommert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
