DECADE,@IMG,@TYPE_BG,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,BRANCH KEY,KEY TOTAL,SECONDARY TEAM,SECONDARY COUNT,SECONDARY 01,SECONDARY 02,SECONDARY 03,SECONDARY 04,SECONDARY 05,SECONDARY 06,SECONDARY 07,SECONDARY 08,SECONDARY 09,SECONDARY 10
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\058.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Gro Bonesmo, Fuminori Hoshino, Kyoko Hoshino, Winy Maas, Ron Steiner, Yushi Uehara, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Yokohama Masterplan,1992,Project,Competition,Masterplan,True,Ron Steiner,24,"[Yushi Uehara, Winy Maas]",2,Yushi Uehara,Winy Maas,,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\059.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Gary Bates, Winy Maas, Jacob van Rijs, Ron Steiner, Luc Veeger, Jeroen Veltman, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Pointcity/Southcity,1993,Project,Commissioned Study,Masterplan,True,Ron Steiner,24,[Winy Maas],1,Winy Maas,,,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\073.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Floris Alkemade, Mathias Bauer, Frans Blok, Gro Bonesmo, Emanuelle Champalle, Minsuk Cho, Hans Cool, Christophe Cornubert, Vincent Coste, Otto Driesden, Chris van Duijn, Sarah Dun, Anthony Fontenot, Bill Gaskins, Wilfried Hackenbroich, Machteld Hendricks, Reiner Hermes, Matthias Hollwich, Andreas Huhn, Alex Karcher, Anna Kling, Niko Knebel, Christine Machynia, Jose Molmans, Sophie Morgense, Simone Nagel, Oleg Nikolaevski, Philip Oswalt, Rinske van Ramshorst, Joshua Ramus, Ole Scheeren, Sandra Schneider-Marfels, Charlotte Senly, Dan Wood, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",MCA Masterplan,1995,Project,Design Development,Masterplan,True,Chris van Duijn,18,"[Christophe Cornubert, Matthias Hollwich, Ole Scheeren]",3,Christophe Cornubert,Matthias Hollwich,Ole Scheeren,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\088.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Office.png,"[Floris Alkemade, Mathias Bauer, Frans Blok, Gro Bonesmo, Emanuelle Champalle, Minsuk Cho, Hans Cool, Christophe Cornubert, Vincent Coste, Otto Driesden, Chris van Duijn, Sarah Dun, Anthony Fontenot, Bill Gaskins, Wilfried Hackenbroich, Machteld Hendricks, Reiner Hermes, Matthias Hollwich, Andreas Huhn, Alex Karcher, Anna Kling, Niko Knebel, Christine Machynia, Jose Molmans, Sophie Morgense, Simone Nagel, Oleg Nikolaevski, Philip Oswalt, Joshua Prince-Ramus, Rinske van Ramshorst, Ole Scheeren, Sandra Schneider-Marfels, Charlotte Senly, Dan Wood, Olga Aleksakova, Eliot Bu, Xavier Calderón, Robert Choeff, Bert Karel Deuten, Keith Donnelley, Robert Donnelly, Chris van Duijn, Chris van Duijn, Sarah Dun, Mark Eacott, Piet Eckert, Erez Ella, Keren Engelman, Rogier van Est, Anne Filson, Adrianne Fisher, Adrianne Fisher, Bruce Fisher, Pedro Costa Gama, Mark Guinand, Wilfried Hackenbroich, Reinier Hermes, Matthias Hollwich, Jens Holm, Andreas Huhn, Anna Jacinto, Kohei Kashimoto, Anna Kling, Antti Lassila, Anna Little, Ellen van Loon, Rob de Maat, Beth Margulis, Mark McVay, Oliver Michell, Christian Müller, Shawn Mulligan, Oleg Nikolaevski, Daan Ooievaar, Ala Pratt, Bill Price, Bill Price, Joshua Prince-Ramus, Joshua Prince-Ramus, Markus Randler, Gerald Rogers, Fernando Romero, Erik Schotte, Florian Seidel, Shohei Shigematsu, Ann Shih, Peer Sievers, Isabel da Silva, Isabel da Silva, Galia Solomonoff, Ilkka Tarkkanen, Lucien Tinga, Olivier Touraine, Jan Vermeulen, Leonard Weil, Bernard Wolff, Dan Wood, Marco Zurn]",Universal Headquarters,1996,Project,Commissioned Study,Office,True,Chris van Duijn,18,"[Christophe Cornubert, Matthias Hollwich, Fernando Romero, Joshua Prince-Ramus, Erez Ella, Ole Scheeren]",6,Christophe Cornubert,Matthias Hollwich,Fernando Romero,Joshua Prince-Ramus,Erez Ella,Ole Scheeren,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\091.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Floris Alkemade, Stephanie Bender, Frans Blok, Xavier Calderón, Grace SukChing Cheung, Donald van Dansik, Claudia Dias, Chris van Duijn, Tobias Fehr, Udo Garritzmann, Verena Haydin, Reiner Hermes, Young-Joon Kim, Andrea Marlia, Philip Oswalt, Jaakko van't Spijker, Dong Ky Than, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Hanoi New Town Masterplan,1997,Project,Commissioned Study,Masterplan,True,Chris van Duijn,18,[],0,,,,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\098.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Residential.png,"[Vincent Coste, Chris Dondorp, Chris van Duijn, Jeanne Gang, Julien Monfort, Bill Price, Erik Schotte, Oliver Schütte, Jeroen Thomas, Yo Yamagata, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Maison à Bordeaux,1998,Project,Completed,Residential,True,Chris van Duijn,18,[Jeanne Gang],1,Jeanne Gang,,,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\100.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Gary Bates, Gary Bates, Donald van Dansik, Chris van Duijn, Matthias Hollwich, Walter Hoogerwerf, Bjarke Ingels, Joshua Ramus, Joshua Ramus, Stephan Schoeller, Colin Seah, Isabel da Silva, Julien De Smedt, Galia Solomonoff, Hanna Svensson, Maarten Weers, Hans Werlemann, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Tenerife Link Quay,1998,Project,Competition,Masterplan,True,Chris van Duijn,18,"[Matthias Hollwich, Bjarke Ingels, Julien De Smedt]",3,Matthias Hollwich,Bjarke Ingels,Julien De Smedt,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\102.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Retail.png,"[Matthias Bauer, Vincent Coste, Christos Marcopoulos, Ole Scheeren, Stephanie Bender, Minsuk Cho, Chris van Duijn, Tobias Fehr, Rob Hilz, Jan-Willem van Kuilenburg, Catherine Lassen, Sabine Schaaf, Erik Schotte, Don Weber, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Breuninger,1999,Project,Completed,Retail,True,Chris van Duijn,18,[Ole Scheeren],1,Ole Scheeren,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\113.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Retail.png,"[Kelly Ishida, Hilary Sample, Christina Beaumont, Evan Bennet, Chris van Duijn, Laszlo Fecske, Joao Ferrao, Alain Fouraux, Jens Hommert, Antti Lassila, Kees Lemmens, Kit Lewis, Karolina Machalica, Jao Costa Ribeiro, Pim van Wylick, Yumiko Yamada, Hiroshi Yoshino, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Epicenter San Francisco,2000,Project,Commissioned Study,Retail,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\115.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Residential.png,"[Andreas Huhn, Jeffrey Johnson, Olga Aleksakova, Catarina Canas, Thomas Duda, Chris van Duijn, Sharon Goren, Thorsten Kiefer, Will Prince, Karen Shanski, Shohei Shigematsu, Pim van Wylick, Dan Wood, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",The Distributed House,2000,Project,Commissioned Study,Residential,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\123.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Retail.png,"[Tim Archambault, Eric Chang, Ergian Alberg, Amale Andraos, Benjamin Beckers, Christina Chang, Chris van Duijn, Alain Fouraux, Jennifer Jones, Julia Lewis, Christiane Sauer, Markus Schaefer, Oliver von Spreckelsen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Epicenter New York,2001,Project,Completed,Retail,True,Chris van Duijn,18,"[Amale Andraos, Markus Schaefer, Eric Chang]",3,Amale Andraos,Markus Schaefer,Eric Chang,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\142.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Research.png,"[Eric Chang, Chris van Duijn, Ole Scheeren, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Sponge,2002,Project,Commissioned Study,Research,True,Chris van Duijn,18,"[Ole Scheeren, Eric Chang]",2,Ole Scheeren,Eric Chang,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\163.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Masterplan.png,"[Annalisa Castorri, Hugo Clara, João Bravo da Costa, Cedric von Daniken, Chris van Duijn, Jens Eberhardt, Frank Eittorf, Gaspard Estourgie, Ramona Jenss, Alexandra Jezierski, Trine Kobbelvedt, Julius Kranefuss, Marieke Kums, Beatriz Ramo, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Logroño,2004,Project,Competition,Masterplan,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\167.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Retail.png,"[Eric Chang, Jessica Rothschild, Amale Andraos, Christian Bandi, Catarina Canas, Chris van Duijn, Chris van Duijn, Keren Engelman, Ali Kops, Jocelyn Low, David Moore, Torsten Schröder, Mark Watanabe, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Epicenter Los Angeles,2004,Project,Completed,Retail,True,Chris van Duijn,18,"[Amale Andraos, Eric Chang]",2,Amale Andraos,Eric Chang,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\170.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Library.png,"[Meghan Corwin, Mark von Hof-Zogrotzki, Bjarke Ingels, Carol Patterson, Natasha Sandmeier, Ali Arvanaghi, Florence Clausel, Keely Colcleugh, Rachel Doherty, Thomas Dubuisson, Chris van Duijn, Erez Ella, Achim Gergen, Sarah Gibson, Laura Gilmore, Eveline Jürgens, Antti Lassila, Anna Little, John McMorrough, Kate Orff, Hannes Peer, João Costa Ribeiro, Beat Schenk, Saskia Simon, Kristina Skoogh, Anna Sutor, Sybille Wälty, Leonard Weil, Victoria Willocks, Dan Wood, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Seattle Central Library,2004,Project,Completed,Library,True,Chris van Duijn,18,"[Erez Ella, Bjarke Ingels]",2,Erez Ella,Bjarke Ingels,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\175.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Residential.png,"[Chris van Duijn, Pieter Janssens, Edoardo Lucchini-Gabriolo, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Anish Kapoor House,2005,Project,Commissioned Study,Residential,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\178.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Theatre.png,"[Ellen van Loon, Uwe Herlyn, Fernando Romero, Isabel da Silva, Barbara Wolff, Rita Amado, Alois Baptista, Christina Beaumont, Catarina Canas, André Cardoso, Robert Choeff, Paulo Costa, Thomas Duda, Chris van Duijn, Adrianne Fisher, Govert Gerritsen, Stephan Griek, Michelle Howard, Ana Jacinto, Alex de Jong, Krystyan Keck, Philip Koenen, Eduarda Lima, Anna Little, Fabienne Louyot, Christian von der Muelde, Peter Müller, Shadi Rahbaran, Nuno Rosado, João Prates Ruivo, Christoff Scholl, Isabel da Silva, Saskia Simon, Barbara Wolff, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Casa da Musica,2005,Project,Completed,Theatre,True,Chris van Duijn,18,[Fernando Romero],1,Fernando Romero,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\181.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Retail.png,"[Shohei Shigematsu, Chris van Duijn, Tanner Merkeley, Kengo Skorick, Michael Smith, Suzannah Waldron, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Epicenter London,2005,Project,Commissioned Study,Retail,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\184.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Residential.png,"[Chris van Duijn, Pieter Janssens, Edoardo Lucchini-Gabriolo, Vitor Smolka, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Sighvatsson House,2005,Project,Commissioned Study,Residential,True,Chris van Duijn,18,[],0,,,,,,,,,,
2000s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\186.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Residential.png,"[Chris van Duijn, Pieter Janssens, Edoardo Lucchini-Gabriolo, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Vincent Gallo Apartment,2005,Project,Commissioned Study,Residential,True,Chris van Duijn,18,[],0,,,,,,,,,,
1980s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\042.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Museum / Gallery.png,"[Christian Basset, Frans Blok, Gro Bonesmo, Eric Carlson, Ruud Cobussen, Christophe Cornubert, Rients Dijkstra, Christine Enzmann, Xaveer de Geyter, Marion Goerdt, Georges Heintz, Kyoko Hoshino, Wim Kloosterboer, Maartje Lammers, Heike Lohmann, Jacob van Rijs, Mark Schendel, Ron Steiner, Jeroen Thomas, Alex Wall, Laura Weeber, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Zentrum fur Kunst und Medientechnologie,1989,Project,Competition,Museum / Gallery,True,Frans Blok,21,"[Christophe Cornubert, Rients Dijkstra]",2,Christophe Cornubert,Rients Dijkstra,,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\054.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Office.png,"[Floris Alkemade, Frans Blok, Christophe Cornubert, Anne Mie Depuydt, Christine Enzmann, Winy Maas, Farshid Moussavi, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Zac Danton,1991,Project,Design Development,Office,True,Frans Blok,21,"[Christophe Cornubert, Winy Maas, Farshid Moussavi]",3,Christophe Cornubert,Winy Maas,Farshid Moussavi,,,,,,,
1990s,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Black and White Images\057.jpg,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\Typology Backgrounds\Museum / Gallery.png,"[Hernando Arrazola, Frans Blok, Nick Dragna, Christine Enzmann, Xaveer de Geyter, Glenn de Groot, Arjen de Groot, Kyoko Hoshino, Francis Hsu, Markus Lüscher, Farshid Moussavi, Heidrun Reusch, Vincent de Rijk, Ron Steiner, Tom Tulloch, Wieland Vajen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Stedelijk Museum,1992,Project,Competition,Museum / Gallery,True,Frans Blok,21,[Farshid Moussavi],1,Farshid Moussavi,,,,,,,,,
